2025-07-19 08:55:12 | INFO     | FaceTrackingSystem.app.main:104 | 🚀 Starting Face Recognition Attendance System API
2025-07-19 08:55:12 | ERROR    | FaceTrackingSystem.app.main:112 | ❌ Database initialization failed: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-07-19 08:55:24 | INFO     | FaceTrackingSystem.app.main:104 | 🚀 Starting Face Recognition Attendance System API
2025-07-19 08:55:24 | ERROR    | FaceTrackingSystem.app.main:112 | ❌ Database initialization failed: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-07-19 08:55:41 | INFO     | FaceTrackingSystem.app.main:104 | 🚀 Starting Face Recognition Attendance System API
2025-07-19 08:55:41 | INFO     | FaceTrackingSystem.app.main:110 | ✅ Database tables initialized
2025-07-19 08:55:41 | INFO     | FaceTrackingSystem.app.main:64 | 🔄 Initializing Face Tracking System...
2025-07-19 08:55:41 | ERROR    | FaceTrackingSystem.app.main:85 | ❌ Error during FTS initialization: No module named 'torch'
2025-07-19 08:55:41 | INFO     | FaceTrackingSystem.app.main:125 | 🎯 Face Recognition Attendance System API is ready!
2025-07-19 08:55:55 | INFO     | FaceTrackingSystem.app.main:130 | 🛑 Shutting down Face Recognition Attendance System API
2025-07-19 08:55:55 | ERROR    | FaceTrackingSystem.app.main:99 | ❌ Error during FTS shutdown: No module named 'torch'
2025-07-19 08:55:55 | INFO     | FaceTrackingSystem.app.main:136 | ✅ Shutdown complete
2025-07-19 08:56:03 | INFO     | FaceTrackingSystem.app.main:104 | 🚀 Starting Face Recognition Attendance System API
2025-07-19 08:56:03 | INFO     | FaceTrackingSystem.app.main:110 | ✅ Database tables initialized
2025-07-19 08:56:03 | INFO     | FaceTrackingSystem.app.main:64 | 🔄 Initializing Face Tracking System...
2025-07-19 08:56:03 | ERROR    | FaceTrackingSystem.app.main:85 | ❌ Error during FTS initialization: No module named 'torch'
2025-07-19 08:56:03 | INFO     | FaceTrackingSystem.app.main:125 | 🎯 Face Recognition Attendance System API is ready!
2025-07-19 08:56:17 | INFO     | FaceTrackingSystem.app.main:130 | 🛑 Shutting down Face Recognition Attendance System API
2025-07-19 08:56:17 | ERROR    | FaceTrackingSystem.app.main:99 | ❌ Error during FTS shutdown: No module named 'torch'
2025-07-19 08:56:17 | INFO     | FaceTrackingSystem.app.main:136 | ✅ Shutdown complete
